Type: cpu
Time: Apr 1, 2023 at 10:01pm (JST)
Duration: 202.21ms, Total samples = 100ms (49.45%)
Showing nodes accounting for 100ms, 100% of 100ms total
      flat  flat%   sum%        cum   cum%
      30ms 30.00% 30.00%       30ms 30.00%  runtime.memmove
      10ms 10.00% 40.00%       10ms 10.00%  runtime.(*spanSet).push
      10ms 10.00% 50.00%       10ms 10.00%  runtime.bulkBarrierPreWriteSrcOnly
      10ms 10.00% 60.00%       10ms 10.00%  runtime.heapBits.bits (inline)
      10ms 10.00% 70.00%       10ms 10.00%  runtime.pthread_cond_signal
      10ms 10.00% 80.00%       20ms 20.00%  runtime.scanobject
      10ms 10.00% 90.00%       10ms 10.00%  runtime.usleep
      10ms 10.00%   100%       10ms 10.00%  runtime.wbBufFlush1
         0     0%   100%       50ms 50.00%  main.heavyFunc
         0     0%   100%       10ms 10.00%  runtime.(*sweepLocked).sweep
         0     0%   100%       10ms 10.00%  runtime.bgsweep
         0     0%   100%       20ms 20.00%  runtime.gcBgMarkWorker
         0     0%   100%       30ms 30.00%  runtime.gcBgMarkWorker.func2
         0     0%   100%       30ms 30.00%  runtime.gcDrain
         0     0%   100%       10ms 10.00%  runtime.gcWriteBarrier
         0     0%   100%       40ms 40.00%  runtime.growslice
         0     0%   100%       10ms 10.00%  runtime.markroot
         0     0%   100%       10ms 10.00%  runtime.markroot.func1
         0     0%   100%       10ms 10.00%  runtime.morestack
         0     0%   100%       10ms 10.00%  runtime.newstack
         0     0%   100%       10ms 10.00%  runtime.notewakeup
         0     0%   100%       10ms 10.00%  runtime.osyield (inline)
         0     0%   100%       10ms 10.00%  runtime.preemptPark
         0     0%   100%       10ms 10.00%  runtime.schedule
         0     0%   100%       10ms 10.00%  runtime.semawakeup
         0     0%   100%       10ms 10.00%  runtime.startm
         0     0%   100%       10ms 10.00%  runtime.suspendG
         0     0%   100%       10ms 10.00%  runtime.sweepone
         0     0%   100%       40ms 40.00%  runtime.systemstack
         0     0%   100%       10ms 10.00%  runtime.wakep
         0     0%   100%       10ms 10.00%  runtime.wbBufFlush
         0     0%   100%       10ms 10.00%  runtime.wbBufFlush.func1
